user_id,content,created_at
1,Just finished grading assignments,2024-09-01 10:00:00
2,Looking forward to the next semester,2024-09-02 11:00:00
3,Excited for the upcoming project,2024-09-03 12:00:00
4,Completed the course material review,2024-09-04 13:00:00
5,Can't wait for the new lectures,2024-09-05 14:00:00
6,Started working on my thesis,2024-09-06 15:00:00
7,Registered for additional classes,2024-09-07 16:00:00
8,Preparing for the final exams,2024-09-08 17:00:00
9,Enjoying the summer break,2024-09-09 18:00:00
10,Looking for internship opportunities,2024-09-10 19:00:00